id,cogency_crowd,cogency_mean_crowd,effectiveness_crowd,effectiveness_mean_crowd,reasonableness_crowd,reasonableness_mean_crowd,overall_crowd,overall_mean_crowd,argumentative_crowd,argumentative_majority_crowd,cogency_experts,cogency_mean_experts,effectiveness_experts,effectiveness_mean_experts,reasonableness_experts,reasonableness_mean_experts,overall_experts,overall_mean_experts,argumentative_experts,argumentative_majority_experts,cogency,cogency_mean,effectiveness,effectiveness_mean,reasonableness,reasonableness_mean,overall,overall_mean,argumentative,argumentative_majority
301KG0KX9CURXAQRF2EI2BDI9JO2HF,"(2, 2, 2, 'n/a', 2, 2, 2, 3, 2, 'n/a', 1, 'n/a', 'n/a', 2)",2.0,"(1, 2, 2, 'n/a', 2, 1, 2, 2, 1, 'n/a', 1, 'n/a', 'n/a', 1)",1.5,"(1, 2, 2, 'n/a', 2, 2, 2, 2, 1, 'n/a', 1, 'n/a', 'n/a', 1)",1.6,"(1, 2, 2, 'n/a', 2, 2, 2, 2, 1, 'n/a', 1, 'n/a', 'n/a', 1)",1.6,"('n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a')",n/a,"(2, '#', 3)",2.5,"(1, '#', 3)",2.0,"(2, '#', 3)",2.5,"(1, '#', 3)",2.0,"(1, 0, 1)",1,"(2, 2, 2, 'n/a', 2, 2, 2, 3, 2, 'n/a', 1, 'n/a', 'n/a', 2)(2, '#', 3)",2.25,"(1, 2, 2, 'n/a', 2, 1, 2, 2, 1, 'n/a', 1, 'n/a', 'n/a', 1)(1, '#', 3)",1.75,"(1, 2, 2, 'n/a', 2, 2, 2, 2, 1, 'n/a', 1, 'n/a', 'n/a', 1)(2, '#', 3)",2.05,"(1, 2, 2, 'n/a', 2, 2, 2, 2, 1, 'n/a', 1, 'n/a', 'n/a', 1)(1, '#', 3)",1.8,"('n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a')(1, 0, 1)",1
302OLP89DZGPL5AF6PTWX2Z08FBACL,"(2, 'n/a', 3, 2, 3, 2, 3, 4, 3, 'n/a', 2, 'n/a', 'n/a', 1)",2.5,"(2, 'n/a', 3, 2, 3, 1, 3, 4, 3, 'n/a', 2, 'n/a', 'n/a', 1)",2.4,"(2, 'n/a', 3, 2, 3, 2, 2, 4, 3, 'n/a', 1, 'n/a', 'n/a', 1)",2.3,"(2, 'n/a', 3, 2, 3, 2, 3, 4, 3, 'n/a', 2, 'n/a', 'n/a', 1)",2.5,"('n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a')",n/a,"(3, 3, '#')",3.0,"(3, 3, '#')",3.0,"(2, 3, '#')",2.5,"(3, 3, '#')",3.0,"(1, 1, 0)",1,"(2, 'n/a', 3, 2, 3, 2, 3, 4, 3, 'n/a', 2, 'n/a', 'n/a', 1)(3, 3, '#')",2.75,"(2, 'n/a', 3, 2, 3, 1, 3, 4, 3, 'n/a', 2, 'n/a', 'n/a', 1)(3, 3, '#')",2.7,"(2, 'n/a', 3, 2, 3, 2, 2, 4, 3, 'n/a', 1, 'n/a', 'n/a', 1)(2, 3, '#')",2.4,"(2, 'n/a', 3, 2, 3, 2, 3, 4, 3, 'n/a', 2, 'n/a', 'n/a', 1)(3, 3, '#')",2.75,"('n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a')(1, 1, 0)",1
304QEQWKZPTUTH904S5U3WH4O7I0OH,"(4, 2, 3, 'n/a', 3, 4, 4, 'n/a', 5, 'n/a', 3, 2, 'n/a', 4)",3.4,"(4, 2, 3, 'n/a', 3, 4, 4, 'n/a', 4, 'n/a', 3, 2, 'n/a', 5)",3.4,"(4, 2, 3, 'n/a', 3, 3, 4, 'n/a', 4, 'n/a', 2, 2, 'n/a', 3)",3.0,"(4, 2, 3, 'n/a', 3, 4, 4, 'n/a', 4, 'n/a', 3, 2, 'n/a', 4)",3.3,"('n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a')",n/a,"(4, 4, 4)",4.0,"(4, 4, 4)",4.0,"(4, 4, 5)",4.333333333333333,"(4, 4, 4)",4.0,"(1, 1, 1)",1,"(4, 2, 3, 'n/a', 3, 4, 4, 'n/a', 5, 'n/a', 3, 2, 'n/a', 4)(4, 4, 4)",3.7,"(4, 2, 3, 'n/a', 3, 4, 4, 'n/a', 4, 'n/a', 3, 2, 'n/a', 5)(4, 4, 4)",3.7,"(4, 2, 3, 'n/a', 3, 3, 4, 'n/a', 4, 'n/a', 2, 2, 'n/a', 3)(4, 4, 5)",3.6666666666666665,"(4, 2, 3, 'n/a', 3, 4, 4, 'n/a', 4, 'n/a', 3, 2, 'n/a', 4)(4, 4, 4)",3.65,"('n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a')(1, 1, 1)",1
306996CF6WTAHC59W648BH0FM051BH,"(2, 'n/a', 2, 'n/a', 3, 3, '#', 'n/a', 2, 4, 1, 'n/a', 3, 2)",2.4444444444444446,"(2, 'n/a', 2, 'n/a', 3, 2, '#', 'n/a', 1, 2, 1, 'n/a', 2, 2)",1.8888888888888888,"(2, 'n/a', 2, 'n/a', 2, 4, '#', 'n/a', 1, 2, 1, 'n/a', 3, 2)",2.111111111111111,"(2, 'n/a', 2, 'n/a', 3, 3, '#', 'n/a', 1, 3, 1, 'n/a', 3, 2)",2.2222222222222223,"('n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a')",n/a,"(4, 3, 3)",3.3333333333333335,"(3, 2, 4)",3.0,"(4, 3, 3)",3.3333333333333335,"(3, 3, 3)",3.0,"(1, 1, 1)",1,"(2, 'n/a', 2, 'n/a', 3, 3, '#', 'n/a', 2, 4, 1, 'n/a', 3, 2)(4, 3, 3)",2.8888888888888893,"(2, 'n/a', 2, 'n/a', 3, 2, '#', 'n/a', 1, 2, 1, 'n/a', 2, 2)(3, 2, 4)",2.4444444444444446,"(2, 'n/a', 2, 'n/a', 2, 4, '#', 'n/a', 1, 2, 1, 'n/a', 3, 2)(4, 3, 3)",2.7222222222222223,"(2, 'n/a', 2, 'n/a', 3, 3, '#', 'n/a', 1, 3, 1, 'n/a', 3, 2)(3, 3, 3)",2.611111111111111,"('n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a')(1, 1, 1)",1
306996CF6WTAHC59W648BH0FM05B1R,"(4, 3, 2, 'n/a', 2, 2, 4, 'n/a', 4, 3, 2, 'n/a', 'n/a', 4)",3.0,"(4, 3, 2, 'n/a', 2, 3, 4, 'n/a', 3, 3, 3, 'n/a', 'n/a', 5)",3.2,"(4, 3, 2, 'n/a', 2, 2, 4, 'n/a', 3, 3, 1, 'n/a', 'n/a', 3)",2.7,"(4, 3, 2, 'n/a', 2, 2, 4, 'n/a', 3, 3, 2, 'n/a', 'n/a', 4)",2.9,"('n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a')",n/a,"('#', 4, 4)",4.0,"('#', 4, 4)",4.0,"('#', 4, 4)",4.0,"('#', 4, 4)",4.0,"(0, 1, 1)",1,"(4, 3, 2, 'n/a', 2, 2, 4, 'n/a', 4, 3, 2, 'n/a', 'n/a', 4)('#', 4, 4)",3.5,"(4, 3, 2, 'n/a', 2, 3, 4, 'n/a', 3, 3, 3, 'n/a', 'n/a', 5)('#', 4, 4)",3.6,"(4, 3, 2, 'n/a', 2, 2, 4, 'n/a', 3, 3, 1, 'n/a', 'n/a', 3)('#', 4, 4)",3.35,"(4, 3, 2, 'n/a', 2, 2, 4, 'n/a', 3, 3, 2, 'n/a', 'n/a', 4)('#', 4, 4)",3.45,"('n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a')(0, 1, 1)",1
306W7JMRYY7SSCPUVRDNQRNN06B8B8,"(3, 'n/a', 3, 'n/a', 3, 2, 3, 4, 2, 4, 3, 'n/a', 'n/a', 5)",3.2,"(2, 'n/a', 3, 'n/a', 3, 1, 2, 3, 1, 4, 3, 'n/a', 'n/a', 5)",2.7,"(2, 'n/a', 3, 'n/a', 3, 3, 3, 4, 2, 4, 2, 'n/a', 'n/a', 5)",3.1,"(2, 'n/a', 3, 'n/a', 3, 2, 3, 4, 1, 4, 2, 'n/a', 'n/a', 5)",2.9,"('n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a')",n/a,"(3, 4, 2)",3.0,"(3, 4, 3)",3.3333333333333335,"(3, 4, 2)",3.0,"(3, 4, 2)",3.0,"(1, 1, 1)",1,"(3, 'n/a', 3, 'n/a', 3, 2, 3, 4, 2, 4, 3, 'n/a', 'n/a', 5)(3, 4, 2)",3.1,"(2, 'n/a', 3, 'n/a', 3, 1, 2, 3, 1, 4, 3, 'n/a', 'n/a', 5)(3, 4, 3)",3.0166666666666666,"(2, 'n/a', 3, 'n/a', 3, 3, 3, 4, 2, 4, 2, 'n/a', 'n/a', 5)(3, 4, 2)",3.05,"(2, 'n/a', 3, 'n/a', 3, 2, 3, 4, 1, 4, 2, 'n/a', 'n/a', 5)(3, 4, 2)",2.95,"('n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a')(1, 1, 1)",1
307FVKVSYRO47ZZ267BU4DLMFUO74E,"(4, 'n/a', 3, 'n/a', 3, 3, 3, 'n/a', 5, 4, 3, 2, 'n/a', 4)",3.4,"(4, 'n/a', 3, 'n/a', 3, 3, 3, 'n/a', 5, 3, 4, 2, 'n/a', 4)",3.4,"(4, 'n/a', 3, 'n/a', 3, 4, 4, 'n/a', 5, 2, 2, 2, 'n/a', 3)",3.2,"(4, 'n/a', 3, 'n/a', 3, 3, 3, 'n/a', 5, 3, 3, 2, 'n/a', 4)",3.3,"('n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a')",n/a,"(4, 3, 4)",3.6666666666666665,"(3, 3, 4)",3.3333333333333335,"(3, 3, 4)",3.3333333333333335,"(3, 3, 4)",3.3333333333333335,"(1, 1, 1)",1,"(4, 'n/a', 3, 'n/a', 3, 3, 3, 'n/a', 5, 4, 3, 2, 'n/a', 4)(4, 3, 4)",3.533333333333333,"(4, 'n/a', 3, 'n/a', 3, 3, 3, 'n/a', 5, 3, 4, 2, 'n/a', 4)(3, 3, 4)",3.3666666666666667,"(4, 'n/a', 3, 'n/a', 3, 4, 4, 'n/a', 5, 2, 2, 2, 'n/a', 3)(3, 3, 4)",3.2666666666666666,"(4, 'n/a', 3, 'n/a', 3, 3, 3, 'n/a', 5, 3, 3, 2, 'n/a', 4)(3, 3, 4)",3.3166666666666664,"('n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a')(1, 1, 1)",1
308KJXFUJRF67MCQSBOMMCZ4W1AAT3,"(2, 'n/a', 3, 'n/a', 3, 2, 3, 'n/a', 3, 4, 2, 2, 'n/a', 1)",2.5,"(2, 'n/a', 3, 'n/a', 3, 1, 3, 'n/a', 2, 2, 3, 1, 'n/a', 1)",2.1,"(2, 'n/a', 3, 'n/a', 3, 1, 3, 'n/a', 3, 3, 1, 1, 'n/a', 1)",2.1,"(2, 'n/a', 3, 'n/a', 3, 1, 3, 'n/a', 3, 3, 2, 2, 'n/a', 1)",2.3,"('n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a')",n/a,"(3, 3, '#')",3.0,"(2, 3, '#')",2.5,"(3, 2, '#')",2.5,"(2, 3, '#')",2.5,"(1, 1, 0)",1,"(2, 'n/a', 3, 'n/a', 3, 2, 3, 'n/a', 3, 4, 2, 2, 'n/a', 1)(3, 3, '#')",2.75,"(2, 'n/a', 3, 'n/a', 3, 1, 3, 'n/a', 2, 2, 3, 1, 'n/a', 1)(2, 3, '#')",2.3,"(2, 'n/a', 3, 'n/a', 3, 1, 3, 'n/a', 3, 3, 1, 1, 'n/a', 1)(3, 2, '#')",2.3,"(2, 'n/a', 3, 'n/a', 3, 1, 3, 'n/a', 3, 3, 2, 2, 'n/a', 1)(2, 3, '#')",2.4,"('n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a')(1, 1, 0)",1
308KJXFUJRF67MCQSBOMMCZ4W1BAT4,"(3, 'n/a', 3, 'n/a', 2, 4, 4, 'n/a', 5, 4, 4, 2, 'n/a', 3)",3.4,"(3, 'n/a', 3, 'n/a', 2, 3, 5, 'n/a', 4, 4, 5, 2, 'n/a', 4)",3.5,"(2, 'n/a', 3, 'n/a', 2, 4, 5, 'n/a', 4, 4, 3, 2, 'n/a', 3)",3.2,"(3, 'n/a', 3, 'n/a', 2, 4, 5, 'n/a', 4, 4, 4, 2, 'n/a', 3)",3.4,"('n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a')",n/a,"(4, 5, 4)",4.333333333333333,"(4, 5, 5)",4.666666666666667,"(4, 5, 4)",4.333333333333333,"(4, 5, 4)",4.333333333333333,"(1, 1, 1)",1,"(3, 'n/a', 3, 'n/a', 2, 4, 4, 'n/a', 5, 4, 4, 2, 'n/a', 3)(4, 5, 4)",3.8666666666666663,"(3, 'n/a', 3, 'n/a', 2, 3, 5, 'n/a', 4, 4, 5, 2, 'n/a', 4)(4, 5, 5)",4.083333333333334,"(2, 'n/a', 3, 'n/a', 2, 4, 5, 'n/a', 4, 4, 3, 2, 'n/a', 3)(4, 5, 4)",3.7666666666666666,"(3, 'n/a', 3, 'n/a', 2, 4, 5, 'n/a', 4, 4, 4, 2, 'n/a', 3)(4, 5, 4)",3.8666666666666663,"('n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a')(1, 1, 1)",1
309D674SHZUU4FF7C3TSSDJ6QXWCBI,"(3, 'n/a', 3, 'n/a', 3, 4, 2, 'n/a', 4, 4, 1, 'n/a', 3, 1)",2.8,"(3, 'n/a', 3, 'n/a', 3, 2, 3, 'n/a', 4, 3, 2, 'n/a', 4, 1)",2.8,"(4, 'n/a', 3, 'n/a', 3, 3, 4, 'n/a', 4, 4, 1, 'n/a', 3, 1)",3.0,"(3, 'n/a', 3, 'n/a', 3, 3, 3, 'n/a', 4, 4, 1, 'n/a', 3, 1)",2.8,"('n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a')",n/a,"(4, 3, 2)",3.0,"(4, 3, 1)",2.6666666666666665,"(4, 3, 1)",2.6666666666666665,"(4, 3, 1)",2.6666666666666665,"(1, 1, 1)",1,"(3, 'n/a', 3, 'n/a', 3, 4, 2, 'n/a', 4, 4, 1, 'n/a', 3, 1)(4, 3, 2)",2.9,"(3, 'n/a', 3, 'n/a', 3, 2, 3, 'n/a', 4, 3, 2, 'n/a', 4, 1)(4, 3, 1)",2.7333333333333334,"(4, 'n/a', 3, 'n/a', 3, 3, 4, 'n/a', 4, 4, 1, 'n/a', 3, 1)(4, 3, 1)",2.833333333333333,"(3, 'n/a', 3, 'n/a', 3, 3, 3, 'n/a', 4, 4, 1, 'n/a', 3, 1)(4, 3, 1)",2.7333333333333334,"('n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a')(1, 1, 1)",1
