id,cogency,cogency_mean,effectiveness,effectiveness_mean,reasonableness,reasonableness_mean,overall,overall_mean,argumentative,argumentative_majority,text,title
374UMBUHN5YU019OCPKDS7PSWJRTCE,"('#',)",#,"('#',)",#,"('#',)",#,"('#',)",#,"(0,)",0,"I've been divorced twice. I wish I had done a ""do it yourself divorce"" the second time, it would have saved me a lot of cash. Anyhow, as long as the two of you are in agreement and ther are no kids from the marriage, it should be pretty simple.  never had to provide any info regarding my first marraige to my lawyer during the second divorce. Good Luck!!",Do I need a special document if I had a previous marriage to file for divorce?
36MUZ9VAE6B2GAX5MQQTDR79FKFEDV,"(2, 'n/a', 3, 'n/a', 'n/a', 'n/a', 4, '#', 3, '#', 'n/a', 'n/a', 5, 4, 'n/a', 5, 'n/a', 'n/a', 5, 'n/a')",3.875,"(2, 'n/a', 3, 'n/a', 'n/a', 'n/a', 2, '#', 3, '#', 'n/a', 'n/a', 5, 4, 'n/a', 5, 'n/a', 'n/a', 5, 'n/a')",3.625,"(2, 'n/a', 3, 'n/a', 'n/a', 'n/a', 3, '#', 3, '#', 'n/a', 'n/a', 5, 4, 'n/a', 4, 'n/a', 'n/a', 5, 'n/a')",3.625,"(2, 'n/a', 3, 'n/a', 'n/a', 'n/a', 3, '#', 3, '#', 'n/a', 'n/a', 5, 4, 'n/a', 5, 'n/a', 'n/a', 5, 'n/a')",3.75,"(1, 'n/a', 1, 'n/a', 'n/a', 'n/a', 1, '#', 1, '#', 'n/a', 'n/a', 1, 1, 'n/a', 1, 'n/a', 'n/a', 1, 'n/a')",1,"This problem started back during the first term of the F.D.R. Administration. F.D.R. was attempting to push through his ""New Deal"" legislation and the Supreme Court was striking down pieces of legislation left and right because they were not within the enumerated powers of the federal goverment.

F.D.R.'s solution to this little problem was to threaten to pack the court with justices who would vote the way he wanted. Back then there was no constitutionally stipulated maximum to the number of justices that could be put on the court so long as the president nominated them and the Senate gave their consent.

With this very real threat in place, the High Court backed down, and ever since we have essentially had no limit on the powers of the federal government.

This is the single greatest threat to our country. If we don't get a handle on it soon, the great experiment in self government started by our founding fathers is going to be a distant memory.",How can politicians and Supreme Court Justices justify stepping beyond?
3BC9H1KCYULZVLEN3M7DCIOA4CQWY1,"(2, 'n/a', 2, 'n/a', 3, 'n/a', '#', 4, 'n/a', '#', 'n/a', 'n/a', 5, 5, 3, 4, 'n/a', 'n/a', 'n/a', 'n/a')",3.5,"(3, 'n/a', 2, 'n/a', 3, 'n/a', '#', 4, 'n/a', '#', 'n/a', 'n/a', 5, 5, 3, 5, 'n/a', 'n/a', 'n/a', 'n/a')",3.75,"(3, 'n/a', 2, 'n/a', 3, 'n/a', '#', 4, 'n/a', '#', 'n/a', 'n/a', 5, 5, 3, 3, 'n/a', 'n/a', 'n/a', 'n/a')",3.5,"(3, 'n/a', 2, 'n/a', 3, 'n/a', '#', 4, 'n/a', '#', 'n/a', 'n/a', 5, 5, 3, 4, 'n/a', 'n/a', 'n/a', 'n/a')",3.625,"(1, 'n/a', 1, 'n/a', 1, 'n/a', 0, 1, 'n/a', 0, 'n/a', 'n/a', 1, 1, 1, 1, 'n/a', 'n/a', 'n/a', 'n/a')",1,"Two issues. One is what the deeds say. The other is a concept called adverse possession.

Adverse possession says that if you claim land for a long period of time (10-20 years), and actually use, then you get to keep it. It's more complicated than that in practice, but that's the idea.

The issue will get decided by a court. If you care about the seven feet, then you should consult with an attorney. She'll probably recommend filing what is called a ""Quiet Title"" action. That asks the court to settle any issues regarding property ownership.",In Texas land was inherited and divided. Fenced off for 40 years can the other party come in and refence?
34YWR3PJ28JHNQNS5JSQM98X11HX0U,"(5, 'n/a', 4, 'n/a', 3, 'n/a', 'n/a', 3, 'n/a', 3, 'n/a', 'n/a', 4, 5, 'n/a', 4, '#', 'n/a', 2, 'n/a')",3.6666666666666665,"(5, 'n/a', 4, 'n/a', 3, 'n/a', 'n/a', 4, 'n/a', 2, 'n/a', 'n/a', 5, 4, 'n/a', 4, '#', 'n/a', 1, 'n/a')",3.5555555555555554,"(5, 'n/a', 4, 'n/a', 3, 'n/a', 'n/a', 4, 'n/a', 3, 'n/a', 'n/a', 5, 4, 'n/a', 3, '#', 'n/a', 1, 'n/a')",3.5555555555555554,"(5, 'n/a', 4, 'n/a', 3, 'n/a', 'n/a', 4, 'n/a', 3, 'n/a', 'n/a', 5, 5, 'n/a', 4, '#', 'n/a', 1, 'n/a')",3.7777777777777777,"(1, 'n/a', 1, 'n/a', 1, 'n/a', 'n/a', 1, 'n/a', 1, 'n/a', 'n/a', 1, 1, 'n/a', 1, 0, 'n/a', 1, 'n/a')",1,"Government censorship is a constitutional violation. The protections in the constitution only apply to govt (not private) action.

If you're talking about Yahoo, that's a private forum. And private forums are subject to whatever internal rules and policies they choose to adopt. Yahoo has guidelines that you argee to follow as a condition of using this private service.

I agree with your core concept -- people need to stop being so irrationally sensitive, and allow broad discussions. I don't agree with personal attacks, because they are largely pointless, but rarely is a general comment actually going to be a personal attack.

That being said, again this is a private forum, with established rules.",Is censorship a violation of freedom of speech?
3NCN4N1H1GQDVJCY1T268ODIQR4BNA,"(3, 3, 3, 'n/a', 'n/a', 'n/a', 4, 4, 3, 5, 'n/a', 'n/a', 3, 'n/a', 'n/a', 2, 'n/a', 'n/a', 5, 'n/a')",3.5,"(2, 4, 3, 'n/a', 'n/a', 'n/a', 2, 5, 4, 5, 'n/a', 'n/a', 3, 'n/a', 'n/a', 3, 'n/a', 'n/a', 5, 'n/a')",3.6,"(2, 4, 3, 'n/a', 'n/a', 'n/a', 3, 4, 4, 5, 'n/a', 'n/a', 3, 'n/a', 'n/a', 1, 'n/a', 'n/a', 4, 'n/a')",3.3,"(3, 4, 3, 'n/a', 'n/a', 'n/a', 3, 4, 4, 5, 'n/a', 'n/a', 3, 'n/a', 'n/a', 2, 'n/a', 'n/a', 5, 'n/a')",3.6,"(1, 1, 1, 'n/a', 'n/a', 'n/a', 1, 1, 1, 1, 'n/a', 'n/a', 1, 'n/a', 'n/a', 1, 'n/a', 'n/a', 1, 'n/a')",1,"No, these children should not be given life without parole. I imagine many of them had an abusive childhood. In situations like that, did they really know better? They lived abuse their entire lives!! I am not saying this is true for all of them, but I am certain it is so for many of them. 

The best thing that could be done for these children is a lot of one on one counseling, as well as group therapies. We can't allow children to be treated in this manner. All of you know that many children are abused incessantly. Don't think for one minute that it won't make them do something drastic!! Get these children out of prisons and into therapy where they can learn to live productive healthy lives!!!",don't people care?
38EHZ67RIM134IZ95EFKWKFF1EMMG2,"('n/a', 'n/a', 3, 3, 3, '#', 4, 'n/a', 3, 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 4, 'n/a', '#', 3, '#', 'n/a')",3.2857142857142856,"('n/a', 'n/a', 3, 3, 2, '#', 4, 'n/a', 3, 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 2, 'n/a', '#', 2, '#', 'n/a')",2.7142857142857144,"('n/a', 'n/a', 3, 3, 2, '#', 4, 'n/a', 3, 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 3, 'n/a', '#', 3, '#', 'n/a')",3.0,"('n/a', 'n/a', 3, 3, 2, '#', 4, 'n/a', 3, 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 3, 'n/a', '#', 2, '#', 'n/a')",2.857142857142857,"('n/a', 'n/a', 1, 1, 1, 0, 1, 'n/a', 1, 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 1, 'n/a', 0, 1, 0, 'n/a')",1,"You may be applying to ridiculously professional firms or something. They shouldn't discriminate because you had to file bankruptcy...

Try leaving your bankruptcy vague on your resume. If the rest of your resume is good, they'll call you in for an interview and usually ask for you to explain some vague points like ""Was forced to file bankruptcy in 2005"".

Think through the reason you became bankrupt and make sure you know why so you don't sound like a liar when you're explaining it to an employer. Seem a touch ashamed of it.

...Or if you still can't find a job, get a crap job working at Burger King or something. Unskilled and Blue Collar jobs don't care about credit.

To be honest, you shouldn't care about credit that much and neither should employers. Good luck with selling out.",How does a person who is recently bankrupt find a job?
3L4YG5VW9N1XO4J5QVF979POEXGDDG,"(3, 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 3, 3, 3, 3, 'n/a', 'n/a', 3, 3, 3, 3, '#', 'n/a', 'n/a', 'n/a')",3.0,"(3, 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 4, 3, 4, 3, 'n/a', 'n/a', 3, 2, 3, 4, '#', 'n/a', 'n/a', 'n/a')",3.2222222222222223,"(2, 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 4, 3, 4, 4, 'n/a', 'n/a', 3, 2, 3, 2, '#', 'n/a', 'n/a', 'n/a')",3.0,"(3, 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 4, 3, 4, 3, 'n/a', 'n/a', 3, 3, 3, 3, '#', 'n/a', 'n/a', 'n/a')",3.2222222222222223,"(1, 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 1, 1, 1, 1, 'n/a', 'n/a', 1, 1, 1, 1, 0, 'n/a', 'n/a', 'n/a')",1,"In order to win a malpractice claim or ""get your money back"" it is not enough that you lost your case when you thought you would win it.  Rememebr, there was always another side that thought they would win too.

You don't say whether this was a criminal or civil trial.  You can always seek another attorney for an appeal (but do it quickly.) It will cost you though, unless you qualify as a criminal defendant for a public defender.  If so, ask for another is you don't have one.",My lawyer misrepresented me in my case?
39WSF6KUV2UTK7OUCZ49OLJ8JYNEOT,"('n/a', 'n/a', 'n/a', 3, 'n/a', '#', 'n/a', 'n/a', 4, 'n/a', 4, 4, 'n/a', 4, 4, 'n/a', '#', 4, 3, 'n/a')",3.75,"('n/a', 'n/a', 'n/a', 3, 'n/a', '#', 'n/a', 'n/a', 3, 'n/a', 4, 4, 'n/a', 4, 3, 'n/a', '#', 4, 2, 'n/a')",3.375,"('n/a', 'n/a', 'n/a', 3, 'n/a', '#', 'n/a', 'n/a', 3, 'n/a', 4, 4, 'n/a', 4, 4, 'n/a', '#', 4, 3, 'n/a')",3.625,"('n/a', 'n/a', 'n/a', 3, 'n/a', '#', 'n/a', 'n/a', 3, 'n/a', 4, 4, 'n/a', 3, 4, 'n/a', '#', 4, 3, 'n/a')",3.5,"('n/a', 'n/a', 'n/a', 1, 'n/a', 0, 'n/a', 'n/a', 1, 'n/a', 1, 1, 'n/a', 1, 1, 'n/a', 0, 1, 1, 'n/a')",1,"Whether or not one is in favour of a death penalty --- and I am not --- looking at this case, one should remember that on 9/11 he was already in federal custody. And there was evidence that the plotters kept him out of the loop because he was so unreliable.
So no matter how involved he was in the plot, it would have been bizarre if he became the only person executed for 9/11.  There were others more involved, perhaps some in custody in Guantanamo Bay (?).
And I agree with kendra's sentiment that death might have been what he wanted so it's beter for him just to rot in a maximum security prison.",should zacarias moussaoui(9/11 plotter) been executed instead of getting life???
356ZPKYPUHQ9BCHMR0TIKOGEA4OYPM,"(3,)",3.0,"(4,)",4.0,"(4,)",4.0,"(4,)",4.0,"(1,)",1,"First your son opened the door. That's an invite. Second your husband assaulted an officer. Third you had drugs and a large amount of cash in view. 

You had a capias in your name cause for arrest. Yes I believe it is legal (check your state laws.) 

Get rid of the drugs, don't fight with the police and you should be good in the future.

The item about not allowing clothes is really up to the police putting you into custody. As a courtesy they could have given you something to put on if you where completely naked.","""Is this considered Illegal Search and Seizure""?"
3DZKABX2ZIE9DTDDHKKSTPDDUF6VCI,"(4, 'n/a', 3, 'n/a', 'n/a', 'n/a', '#', 4, 3, 3, 'n/a', 'n/a', 4, 4, 'n/a', 4, 'n/a', 'n/a', '#', 'n/a')",3.625,"(4, 'n/a', 3, 'n/a', 'n/a', 'n/a', '#', 4, 4, 2, 'n/a', 'n/a', 4, 4, 'n/a', 5, 'n/a', 'n/a', '#', 'n/a')",3.75,"(5, 'n/a', 3, 'n/a', 'n/a', 'n/a', '#', 5, 4, 3, 'n/a', 'n/a', 4, 3, 'n/a', 3, 'n/a', 'n/a', '#', 'n/a')",3.75,"(4, 'n/a', 3, 'n/a', 'n/a', 'n/a', '#', 4, 4, 3, 'n/a', 'n/a', 4, 4, 'n/a', 4, 'n/a', 'n/a', '#', 'n/a')",3.75,"(1, 'n/a', 1, 'n/a', 'n/a', 'n/a', 0, 1, 1, 1, 'n/a', 'n/a', 1, 1, 'n/a', 1, 'n/a', 'n/a', 0, 'n/a')",1,"I don't know if playing hockey in the street is legal or not, but generally they can't keep you from accessing your property on a public street.  Blocking your access and throwing stuff in your yard, are both trespasses to land. These are actionable in a court of civil law. You may be able to collect damages for any actual damage done to your property, and possibly nominal damages, ($1). Also if you do take this to court you may get an injunction to prevent them from continuing to block your driveway, or even from playing hockey in the street.  You would have to check with a lawyer in your jurisdiction in New York to find out what the specific laws are Tonawanda, but you may be able to bring this claim without a lawyer.",is playing hockey in the street legal in new york?
