id,cogency,cogency_mean,effectiveness,effectiveness_mean,reasonableness,reasonableness_mean,overall,overall_mean,argumentative,argumentative_majority,text,title
301KG0KX9CURXAQRF2EI2BDI9JO2HF,"(2, 2, 2, 'n/a', 2, 2, 2, 3, 2, 'n/a', 1, 'n/a', 'n/a', 2)",2.0,"(1, 2, 2, 'n/a', 2, 1, 2, 2, 1, 'n/a', 1, 'n/a', 'n/a', 1)",1.5,"(1, 2, 2, 'n/a', 2, 2, 2, 2, 1, 'n/a', 1, 'n/a', 'n/a', 1)",1.6,"(1, 2, 2, 'n/a', 2, 2, 2, 2, 1, 'n/a', 1, 'n/a', 'n/a', 1)",1.6,"('n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a')",n/a,"No one enters suit justly, no one goes to court honestly; they rely on empty pleas, they speak lies, they conceive mischief and bring forth iniquity. 

Therefore justice is far from us…Judgment is turned away backwards, and justice stands afar off; for truth has fallen in the public squares, and uprightness cannot enter. Truth is lacking, and he who departs from evil makes himself a prey.",Is it right to get sued in a civil case after you've been found not guity in a criminal case?
302OLP89DZGPL5AF6PTWX2Z08FBACL,"(2, 'n/a', 3, 2, 3, 2, 3, 4, 3, 'n/a', 2, 'n/a', 'n/a', 1)",2.5,"(2, 'n/a', 3, 2, 3, 1, 3, 4, 3, 'n/a', 2, 'n/a', 'n/a', 1)",2.4,"(2, 'n/a', 3, 2, 3, 2, 2, 4, 3, 'n/a', 1, 'n/a', 'n/a', 1)",2.3,"(2, 'n/a', 3, 2, 3, 2, 3, 4, 3, 'n/a', 2, 'n/a', 'n/a', 1)",2.5,"('n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a')",n/a,"I don't think that he (an old man) killed his exwife and her friend. But this book (which is in extremely poor taste, damn offensive) is his pitiful attempt to convince an overhelming majority that he is innocent.  I think he has lost his mind and since he lost his civil court case, the revenue from his book and other gain ventures should be garnished to pay the restitution that he owes.",Why do you think o.j. simpson is trying to promote his book and film does he owe his defense team a lot of $$?
304QEQWKZPTUTH904S5U3WH4O7I0OH,"(4, 2, 3, 'n/a', 3, 4, 4, 'n/a', 5, 'n/a', 3, 2, 'n/a', 4)",3.4,"(4, 2, 3, 'n/a', 3, 4, 4, 'n/a', 4, 'n/a', 3, 2, 'n/a', 5)",3.4,"(4, 2, 3, 'n/a', 3, 3, 4, 'n/a', 4, 'n/a', 2, 2, 'n/a', 3)",3.0,"(4, 2, 3, 'n/a', 3, 4, 4, 'n/a', 4, 'n/a', 3, 2, 'n/a', 4)",3.3,"('n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a')",n/a,"He's a convict, she doesn't have much to worry about legally.  There's no chance (almost...) of her being brought to trial on a perjury case, but he might be able to do something in civil court... honestly if she has a new car she should give the car in question back just because it won't be worth the hassle.  Remember it's up to the distric attourney whether or not to bring criminal charges, and he's not likely to get involved in a family dispute like this...

Even in the very obscure possibility that the DA did even consider the case, he won't prosecute for one very good reason.  The case would be based on one thing, the word of a convict against the word of your neice, her mother, and her grandmother.  DA's don't prosecute cases they know they can't win.",question regarding perjury-see details.?
306996CF6WTAHC59W648BH0FM051BH,"(2, 'n/a', 2, 'n/a', 3, 3, '#', 'n/a', 2, 4, 1, 'n/a', 3, 2)",2.4444444444444446,"(2, 'n/a', 2, 'n/a', 3, 2, '#', 'n/a', 1, 2, 1, 'n/a', 2, 2)",1.8888888888888888,"(2, 'n/a', 2, 'n/a', 2, 4, '#', 'n/a', 1, 2, 1, 'n/a', 3, 2)",2.111111111111111,"(2, 'n/a', 2, 'n/a', 3, 3, '#', 'n/a', 1, 3, 1, 'n/a', 3, 2)",2.2222222222222223,"('n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a')",n/a,"a number of reasons..
because the girls are out looking for a good time with guys in perhapes the wrong places--ie the bar or disco or late night parties
because guys are  ""lacing"" drinks with drugs quite easily 
because the media portrays ""a good time"" for young people  as"" having sex""
and uncool to go without it 
because girls dont think their safety is their priority anymore and if parents try to warn them they react by going all out with guys giving them the opportunity they are looking for
because the ""safety antena"" of girls arent as sensitive as they should be to keep them from becoming a victim

thus date rape is a consequence of all these factors. 
so girls need to take care, be aware of your own safety dont give ""strange"" guys the upperhand if you dont want to be date raped..",Why do u think date rape is on the rise today?
306996CF6WTAHC59W648BH0FM05B1R,"(4, 3, 2, 'n/a', 2, 2, 4, 'n/a', 4, 3, 2, 'n/a', 'n/a', 4)",3.0,"(4, 3, 2, 'n/a', 2, 3, 4, 'n/a', 3, 3, 3, 'n/a', 'n/a', 5)",3.2,"(4, 3, 2, 'n/a', 2, 2, 4, 'n/a', 3, 3, 1, 'n/a', 'n/a', 3)",2.7,"(4, 3, 2, 'n/a', 2, 2, 4, 'n/a', 3, 3, 2, 'n/a', 'n/a', 4)",2.9,"('n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a')",n/a,"You don't say anything about your homelife.  You have to have a very good reason for it.  If you could get a job w/in walking distance, I think they consider that reasonable.  I put up with a lot of physical and mental abuse until I was old enough to leave home .... and I still recommend staying at home as long as you can.  If it is your homelife that is the problem, get Social Services involved.",i want to get emancipated in virginia. i cant drive but what if i got a job and would it be likely?
306W7JMRYY7SSCPUVRDNQRNN06B8B8,"(3, 'n/a', 3, 'n/a', 3, 2, 3, 4, 2, 4, 3, 'n/a', 'n/a', 5)",3.2,"(2, 'n/a', 3, 'n/a', 3, 1, 2, 3, 1, 4, 3, 'n/a', 'n/a', 5)",2.7,"(2, 'n/a', 3, 'n/a', 3, 3, 3, 4, 2, 4, 2, 'n/a', 'n/a', 5)",3.1,"(2, 'n/a', 3, 'n/a', 3, 2, 3, 4, 1, 4, 2, 'n/a', 'n/a', 5)",2.9,"('n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a')",n/a,"Sallu, thanks for answering my question. Politics is very useful to people. The nation we live in exists because it is built around laws and values the people support. Without police I would be afraid to go outside without a gun. Think more theoretical. Why don't terrorists blow up every city here? I mean are frisked everytime you leave your house? No. Politics is the governing body that has developed public safety. It is supposed to be built by the people it governs. Arguments happen so people can learn to understand one another and learn. It is okay to debate. You don't have to always be right but take time to learn. 
Its not politics that destroys people, its the media projecting it. Whether you are democrat or republican, you must admit the media slanders whomever is in office. Clinton almost got impeached and the media was all over it. Cheeny with the gun accident, oh they are having a hayday. Just be patient, listen close, and VOTE!!!","what do think about politics,is this really helpful for people?"
307FVKVSYRO47ZZ267BU4DLMFUO74E,"(4, 'n/a', 3, 'n/a', 3, 3, 3, 'n/a', 5, 4, 3, 2, 'n/a', 4)",3.4,"(4, 'n/a', 3, 'n/a', 3, 3, 3, 'n/a', 5, 3, 4, 2, 'n/a', 4)",3.4,"(4, 'n/a', 3, 'n/a', 3, 4, 4, 'n/a', 5, 2, 2, 2, 'n/a', 3)",3.2,"(4, 'n/a', 3, 'n/a', 3, 3, 3, 'n/a', 5, 3, 3, 2, 'n/a', 4)",3.3,"('n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a')",n/a,Although we have free speech in America if our speech incites a riot or if it is reasonable to assume that what you say could incite others to do harm or break the law then there can be legal repercussions.  The reason this so seldom happens though is because it has to be proved that the actions of others were the direct and sole result of the words or actions of another and this can be hard to do.,Should there be laws governing racist comments made at rallies that  incite violance?
308KJXFUJRF67MCQSBOMMCZ4W1AAT3,"(2, 'n/a', 3, 'n/a', 3, 2, 3, 'n/a', 3, 4, 2, 2, 'n/a', 1)",2.5,"(2, 'n/a', 3, 'n/a', 3, 1, 3, 'n/a', 2, 2, 3, 1, 'n/a', 1)",2.1,"(2, 'n/a', 3, 'n/a', 3, 1, 3, 'n/a', 3, 3, 1, 1, 'n/a', 1)",2.1,"(2, 'n/a', 3, 'n/a', 3, 1, 3, 'n/a', 3, 3, 2, 2, 'n/a', 1)",2.3,"('n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a')",n/a,"Keep our jobs at home; pay the working people decent wages that keep  up with the cost of living, which wouldn't be near what it is if we had kept our jobs at home all along anyway; stop voting self-raises for our political leaaders; stop trying to be the world's peacemakers, money controllers - both providing and then forgiving debt only to ""loan"" more; and realize that all the world has the same abilities and resources we started with, they just need to make a choice to utilize the resources they have and develope a work ethic and use it.",corrupts are one of the big hurdel in the development of the nation and the individual.is there any pandit to?
308KJXFUJRF67MCQSBOMMCZ4W1BAT4,"(3, 'n/a', 3, 'n/a', 2, 4, 4, 'n/a', 5, 4, 4, 2, 'n/a', 3)",3.4,"(3, 'n/a', 3, 'n/a', 2, 3, 5, 'n/a', 4, 4, 5, 2, 'n/a', 4)",3.5,"(2, 'n/a', 3, 'n/a', 2, 4, 5, 'n/a', 4, 4, 3, 2, 'n/a', 3)",3.2,"(3, 'n/a', 3, 'n/a', 2, 4, 5, 'n/a', 4, 4, 4, 2, 'n/a', 3)",3.4,"('n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a')",n/a,"I believe we should be able to die with dignity. While there are obvious needs for safeguards and protocols to protect the innocent from predators, if someone is terminally ill and no longer considers their quality of life to be sufficient to continue, then they should be allowed to request medications to end their life.

I have watched relatives die of cancer; no-one deserves to be forced to go through that process unwillingly. Those that want to should get all the support they need; those that choose to die early should be given the means to do so.",Do you agree or disagree with euthanasia? What are your reasons?
309D674SHZUU4FF7C3TSSDJ6QXWCBI,"(3, 'n/a', 3, 'n/a', 3, 4, 2, 'n/a', 4, 4, 1, 'n/a', 3, 1)",2.8,"(3, 'n/a', 3, 'n/a', 3, 2, 3, 'n/a', 4, 3, 2, 'n/a', 4, 1)",2.8,"(4, 'n/a', 3, 'n/a', 3, 3, 4, 'n/a', 4, 4, 1, 'n/a', 3, 1)",3.0,"(3, 'n/a', 3, 'n/a', 3, 3, 3, 'n/a', 4, 4, 1, 'n/a', 3, 1)",2.8,"('n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a')",n/a,"Hypocricy runs rampant in both parties. You know what would be a better way to select our canidate by having actual facts as to how the voted on any and all issues when they were in government. This way you know if this person is voting the way you want them to on the issues that are important to you. What was their absent record. 
After all aren't we all their bosses to some extent we put them in office. 
You know what irks me the most it's the wonderful raises they give themselves. If there is something that should be put in the ballot it's rather or not they should have a pay raise. After all where else can you go to work and decide gee I am giving myself a payraise.
However it's all a bunch of propaganda with mudslinging.",Does my Republican party's hypocrisy trouble you?  It is starting to bother me...?
